ActorKey,ActorID,ActorName,MovieKey
1,AC0071,Ally Walker,1
2,AC0482,Del Zamora,1
3,AC0771,Irene Bedard,1
4,AC0988,Jon Gries,1
5,AC1580,Peter Vaughan,1
6,AC1815,Shawna Waldron,1
7,AC0337,Chris Klein,1
8,AC1578,Peter Serafinowicz,1
9,AC1841,Sofia Boutella,1
10,AC0686,Gideon Emery,1
11,AC0701,Greg Germann,1
12,AC1356,Mhairi Calvey,2
13,AC0432,Danny Dyer,2
14,AC1530,Paddy Considine,2
15,AC1723,Ryan Guzman,2
16,AC0162,Bebe Neuwirth,2
17,AC1152,Laura Harring,2
18,AC0289,Caroline Dhavernas,2
19,AC1374,Michael Imperioli,2
20,AC0851,Jason Patric,2
21,AC0167,Ben Feldman,2
22,AC2096,Zooey Deschanel,2
23,AC1029,Julianna Guill,2
24,AC0259,Bryce Dallas Howard,2
25,AC0549,Ed Skrein,2
26,AC1013,Jossara Jinaro,2
27,AC0736,Hector Elizondo,3
28,AC1979,Tony Chiu Wai Leung,3
29,AC0059,Alice Cooper,3
30,AC0352,Christine Taylor,3
31,AC1006,Joseph Gordon-Levitt,3
32,AC1133,Kristy Swanson,3
33,AC1924,Teri Garr,3
34,AC1442,Nancy Allen,3
35,AC0394,Cory Hardrict,3
36,AC1746,Samira Wiley,3
37,AC1116,Kimberly Elise,3
38,AC1821,Shengyi Huang,3
39,AC1885,Suraj Sharma,3
40,AC0582,Emily Podleski,4
41,AC1093,Keri Maletto,4
42,AC0537,Dustin Lance Black,4
43,AC1275,Maribel Verd??,4
44,AC1738,Sam Riley,4
45,AC0698,Grace Phipps,4
46,AC0867,Jeanne Tripplehorn,4
47,AC2051,Will Ferrell,4
48,AC0084,Amir Talai,4
49,AC0868,Jean-Paul Belmondo,4
50,AC1919,Telly Savalas,4
51,AC0002,A.J. Buckley,4
52,AC1694,Romain Duris,4
53,AC2075,Yangzom Brauen,4
54,AC0055,Alexis Dziena,4
