MovieID,MovieName,Duration,MovieLanguage,ReleaseYear,MovieKey,Movie_Rate
M0001,Avatar ,178,English,2009,1,4.9
M0002,Pirates of the Caribbean: At World's End ,169,English,2007,2,4.1
M0003,Spectre ,148,English,2015,3,2.5
M0004,The Dark Knight Rises ,164,English,2012,4,1.9
M0005,Star Wars: Episode VII - The Force Awakens ,107,English,2006,5,3.0094669848846456
M0006,John Carter ,132,English,2012,6,2.8
M0007,Spider-Man 3 ,156,English,2007,7,1.8
M0008,Tangled ,100,English,2010,8,3.3
M0009,Avengers: Age of Ultron ,141,English,2015,9,3.9
M0010,Harry Potter and the Half-Blood Prince ,153,English,2009,10,2.4
M0011,Batman v Superman: Dawn of Justice ,183,English,2016,11,1.2
M0012,Superman Returns ,169,English,2006,12,4.1
M0013,Quantum of Solace ,106,English,2008,13,1.4
M0014,Pirates of the Caribbean: Dead Man's Chest ,151,English,2006,14,4.1
M0015,The Lone Ranger ,150,English,2013,15,2.5
M0016,Man of Steel ,143,English,2013,16,3.1
M0017,The Chronicles of Narnia: Prince Caspian ,150,English,2008,17,2.3
M0018,The Avengers ,173,English,2012,18,1.9
M0019,Pirates of the Caribbean: On Stranger Tides ,136,English,2011,19,4.8
M0020,Men in Black 3 ,106,English,2012,20,2.1
M0021,The Hobbit: The Battle of the Five Armies ,164,English,2014,21,1.3
M0022,The Amazing Spider-Man ,153,English,2012,22,2.7
M0023,Robin Hood ,156,English,2010,23,2.2
M0024,The Hobbit: The Desolation of Smaug ,186,English,2013,24,4.0
M0025,The Golden Compass ,113,English,2007,25,4.2
M0026,King Kong ,201,English,2005,26,4.6
M0027,Titanic ,194,English,1997,27,3.7
M0028,Captain America: Civil War ,147,English,2016,28,4.7
M0029,Battleship ,131,English,2012,29,4.0
M0030,Jurassic World ,124,English,2015,30,2.6
M0031,Skyfall ,143,English,2012,31,2.6
M0032,Spider-Man 2 ,135,English,2004,32,1.7
M0033,Iron Man 3 ,195,English,2013,33,4.3
M0034,Alice in Wonderland ,108,English,2010,34,2.2
M0035,X-Men: The Last Stand ,104,English,2006,35,2.1
M0036,Monsters University ,104,English,2013,36,3.1
M0037,Transformers: Revenge of the Fallen ,150,English,2009,37,4.8
M0038,Transformers: Age of Extinction ,165,English,2014,38,2.5
M0039,Oz the Great and Powerful ,130,English,2013,39,4.8
M0040,The Amazing Spider-Man 2 ,142,English,2014,40,4.7
M0041,TRON: Legacy ,125,English,2010,41,2.3
M0042,Cars 2 ,106,English,2011,42,4.3
M0043,Green Lantern ,123,English,2011,43,2.7
M0044,Toy Story 3 ,103,English,2010,44,2.0
M0045,Terminator Salvation ,118,English,2009,45,3.0
M0046,Furious 7 ,140,English,2015,46,2.5
M0047,World War Z ,123,English,2013,47,1.4
M0048,X-Men: Days of Future Past ,149,English,2014,48,3.9
M0049,Star Trek Into Darkness ,132,English,2013,49,4.6
M0050,Jack the Giant Slayer ,114,English,2013,50,2.8
M0051,The Great Gatsby ,143,English,2013,51,1.3
M0052,Prince of Persia: The Sands of Time ,116,English,2010,52,1.5
M0053,Pacific Rim ,131,English,2013,53,4.6
M0054,Transformers: Dark of the Moon ,154,English,2011,54,2.6
M0055,Indiana Jones and the Kingdom of the Crystal Skull ,122,English,2008,55,4.3
M0056,The Good Dinosaur ,93,English,2015,56,4.9
M0057,Brave ,93,English,2012,57,4.1
M0058,Star Trek Beyond ,122,English,2016,58,2.3
M0059,WALL·E ,98,English,2008,59,3.0
M0060,Rush Hour 3 ,91,English,2007,60,4.6
M0061,2012 ,158,English,2009,61,4.7
M0062,A Christmas Carol ,96,English,2009,62,1.6
M0063,Jupiter Ascending ,127,English,2015,63,1.8
M0064,The Legend of Tarzan ,110,English,2016,64,3.3
M0065,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150,English,2005,65,4.1
M0066,X-Men: Apocalypse ,144,English,2016,66,3.3
M0067,The Dark Knight ,152,English,2008,67,2.8
M0068,Up ,96,English,2009,68,2.5
M0069,Monsters vs. Aliens ,94,English,2009,69,3.6
M0070,Iron Man ,126,English,2008,70,3.7
M0071,Hugo ,126,English,2011,71,3.4
M0072,Wild Wild West ,106,English,1999,72,3.7
M0073,The Mummy: Tomb of the Dragon Emperor ,112,English,2008,73,2.0
M0074,Suicide Squad ,123,English,2016,74,5.0
M0075,Evan Almighty ,96,English,2007,75,4.7
M0076,Edge of Tomorrow ,113,English,2014,76,4.7
M0077,Waterworld ,176,English,1995,77,1.9
M0078,G.I. Joe: The Rise of Cobra ,118,English,2009,78,3.7
M0079,Inside Out ,95,English,2015,79,2.1
M0080,The Jungle Book ,106,English,2016,80,1.5
M0081,Iron Man 2 ,124,English,2010,81,3.3
M0082,Snow White and the Huntsman ,132,English,2012,82,1.1
M0083,Maleficent ,97,English,2014,83,3.9
M0084,Dawn of the Planet of the Apes ,130,English,2014,84,4.7
M0085,The Lovers ,109,English,2015,85,1.4
M0086,47 Ronin ,128,English,2013,86,3.7
M0087,Captain America: The Winter Soldier ,136,English,2014,87,4.8
M0088,Shrek Forever After ,93,English,2010,88,3.4
M0089,Tomorrowland ,130,English,2015,89,3.2
M0090,Big Hero 6 ,102,English,2014,90,3.3
M0091,Wreck-It Ralph ,101,English,2012,91,3.4
M0092,The Polar Express ,100,English,2004,92,5.0
M0093,Independence Day: Resurgence ,120,English,2016,93,3.1
M0094,How to Train Your Dragon ,98,English,2010,94,2.4
M0095,Terminator 3: Rise of the Machines ,109,English,2003,95,2.9
M0096,Guardians of the Galaxy ,121,English,2014,96,2.2
M0097,Interstellar ,169,English,2014,97,2.3
M0098,Inception ,148,English,2010,98,1.1
M0099,Godzilla Resurgence ,120,Japanese,2016,99,4.1
M0100,The Hobbit: An Unexpected Journey ,182,English,2012,100,3.4
M0101,The Fast and the Furious ,106,English,2001,101,1.2
M0102,The Curious Case of Benjamin Button ,166,English,2008,102,5.0
M0103,X-Men: First Class ,132,English,2011,103,4.9
M0104,The Hunger Games: Mockingjay - Part 2 ,137,English,2015,104,1.0
M0105,The Sorcerer's Apprentice ,109,English,2010,105,1.8
M0106,Poseidon ,98,English,2006,106,2.8
M0107,Alice Through the Looking Glass ,113,English,2016,107,4.8
M0108,Shrek the Third ,93,English,2007,108,1.8
M0109,Warcraft ,123,English,2016,109,4.2
M0110,Terminator Genisys ,126,English,2015,110,2.8
M0111,The Chronicles of Narnia: The Voyage of the Dawn Treader ,113,English,2010,111,2.3
M0112,Pearl Harbor ,184,English,2001,112,3.7
M0113,Transformers ,144,English,2007,113,3.8
M0114,Alexander ,206,English,2004,114,1.6
M0115,Harry Potter and the Order of the Phoenix ,138,English,2007,115,3.4
M0116,Harry Potter and the Goblet of Fire ,157,English,2005,116,4.5
M0117,Hancock ,102,English,2008,117,2.4
M0118,I Am Legend ,104,English,2007,118,2.8
M0119,Charlie and the Chocolate Factory ,115,English,2005,119,1.8
M0120,Ratatouille ,111,English,2007,120,3.8
M0121,Batman Begins ,128,English,2005,121,2.6
M0122,Madagascar: Escape 2 Africa ,89,English,2008,122,4.0
M0123,Night at the Museum: Battle of the Smithsonian ,105,English,2009,123,1.0
M0124,X-Men Origins: Wolverine ,119,English,2009,124,1.8
M0125,The Matrix Revolutions ,129,English,2003,125,1.1
M0126,Frozen ,102,English,2013,126,1.5
M0127,The Matrix Reloaded ,138,English,2003,127,4.8
M0128,Thor: The Dark World ,112,English,2013,128,2.2
M0129,Mad Max: Fury Road ,120,English,2015,129,3.2
M0130,Angels & Demons ,146,English,2009,130,5.0
M0131,Thor ,115,English,2011,131,2.4
M0132,Bolt ,96,English,2008,132,2.4
M0133,G-Force ,88,English,2009,133,2.4
M0134,Wrath of the Titans ,99,English,2012,134,1.3
M0135,Dark Shadows ,113,English,2012,135,3.9
M0136,Mission: Impossible - Rogue Nation ,131,English,2015,136,2.7
M0137,The Wolfman ,119,English,2010,137,1.3
M0138,The Legend of Tarzan ,110,English,2016,138,5.0
M0139,Bee Movie ,91,English,2007,139,3.5
M0140,Kung Fu Panda 2 ,90,English,2011,140,3.5
M0141,The Last Airbender ,103,English,2010,141,1.8
M0142,Mission: Impossible III ,124,English,2006,142,1.1
M0143,White House Down ,131,English,2013,143,3.0
M0144,Mars Needs Moms ,88,English,2011,144,2.6
M0145,Flushed Away ,85,English,2006,145,1.8
M0146,Pan ,111,English,2015,146,4.9
M0147,Mr. Peabody & Sherman ,92,English,2014,147,4.3
M0148,Troy ,196,English,2004,148,2.5
M0149,Madagascar 3: Europe's Most Wanted ,93,English,2012,149,1.6
M0150,Die Another Day ,133,English,2002,150,3.9
M0151,Ghostbusters ,116,English,2016,151,3.6
M0152,Armageddon ,153,English,1998,152,4.1
M0153,Men in Black II ,88,English,2002,153,2.8
M0154,Beowulf ,115,English,2007,154,2.6
M0155,Kung Fu Panda 3 ,95,English,2016,155,4.0
M0156,Mission: Impossible - Ghost Protocol ,133,English,2011,156,1.7
M0157,Rise of the Guardians ,97,English,2012,157,4.4
M0158,Fun with Dick and Jane ,90,English,2005,158,4.6
M0159,The Last Samurai ,154,English,2003,159,3.0
M0160,Exodus: Gods and Kings ,150,English,2014,160,1.1
M0161,Star Trek ,127,English,2009,161,2.8
M0162,Spider-Man ,121,English,2002,162,1.2
